Item Name,ID,Max Stack Size,Has Block,Creative Tabs,Block Loot Behavior,No Loot Table,Override Loot Source Block,Vanilla Loot Method,Loot Drop Field,Included
Bamboo Chest Raft,bamboo_chest_raft,1,No,redstone_blocks; tools_and_utilities,,No,,,,No
Bamboo Door,bamboo_door,64,Yes,building_blocks,default,No,,custom,,Yes
Bamboo Fence,bamboo_fence,64,Yes,building_blocks,default,No,,drop_self,,Yes
Bamboo Fence Gate,bamboo_fence_gate,64,Yes,building_blocks,default,No,,drop_self,,Yes
Bamboo Hanging Sign,bamboo_hanging_sign,16,Yes,functional_blocks,default,No,,drop_self,,Yes
Bamboo Mosaic,bamboo_mosaic,64,Yes,building_blocks,default,No,,drop_self,,Yes
Bamboo Mosaic Slab,bamboo_mosaic_slab,64,Yes,building_blocks,default,No,,custom,,Yes
Bamboo Mosaic Stairs,bamboo_mosaic_stairs,64,Yes,building_blocks,default,No,,drop_self,,Yes
Bamboo Planks,bamboo_planks,64,Yes,building_blocks,default,No,,drop_self,,Yes
Bamboo Pressure Plate,bamboo_pressure_plate,64,Yes,building_blocks,default,No,,drop_self,,Yes
Bamboo Raft,bamboo_raft,1,No,tools_and_utilities,,No,,,,No
Bamboo Sign,bamboo_sign,16,Yes,functional_blocks,default,No,,drop_self,,Yes
Bamboo Slab,bamboo_slab,64,Yes,building_blocks,default,No,,custom,,Yes
Bamboo Stairs,bamboo_stairs,64,Yes,building_blocks,default,No,,drop_self,,Yes
Bamboo Trapdoor,bamboo_trapdoor,64,Yes,building_blocks,default,No,,drop_self,,Yes
Barrel,barrel,64,Yes,functional_blocks; redstone_blocks,default,No,,custom,,Yes
Barrier,barrier,64,Yes,op_blocks,no_loot_table,Yes,,,,No
Basalt,basalt,64,Yes,building_blocks; natural_blocks,default,No,,drop_self,,Yes
Bat Spawn Egg,bat_spawn_egg,64,No,spawn_eggs,,No,,,,No
Beacon,beacon,64,Yes,functional_blocks,default,No,,custom,,Yes
Bedrock,bedrock,64,Yes,natural_blocks,no_loot_table,Yes,,,,No
Bee Nest,bee_nest,64,Yes,natural_blocks; functional_blocks,default,No,,custom,,Yes
Bee Spawn Egg,bee_spawn_egg,64,No,spawn_eggs,,No,,,,No
Beef,beef,64,No,food_and_drinks,,No,,,,Yes
Beehive,beehive,64,Yes,functional_blocks,default,No,,custom,,Yes
Beetroot,beetroot,64,No,food_and_drinks,,No,,,,Yes
Beetroot Seeds,beetroot_seeds,64,No,natural_blocks,,No,,,,Yes
Beetroot Soup,beetroot_soup,1,No,food_and_drinks,,No,,,,No
Bell,bell,64,Yes,functional_blocks; redstone_blocks,default,No,,custom,,Yes
Big Dripleaf,big_dripleaf,64,Yes,natural_blocks; redstone_blocks,default,No,,drop_self,,Yes
Birch Boat,birch_boat,1,No,tools_and_utilities,,No,,,,No
Birch Button,birch_button,64,Yes,building_blocks,default,No,,drop_self,,Yes
Birch Chest Boat,birch_chest_boat,1,No,tools_and_utilities,,No,,,,No
Birch Door,birch_door,64,Yes,building_blocks,default,No,,custom,,Yes
Birch Fence,birch_fence,64,Yes,building_blocks,default,No,,drop_self,,Yes
Birch Fence Gate,birch_fence_gate,64,Yes,building_blocks,default,No,,drop_self,,Yes
Birch Hanging Sign,birch_hanging_sign,16,Yes,functional_blocks,default,No,,drop_self,,Yes
Birch Leaves,birch_leaves,64,Yes,natural_blocks,default,No,,custom,,Yes
Birch Log,birch_log,64,Yes,building_blocks; natural_blocks,default,No,,drop_self,,Yes
Birch Planks,birch_planks,64,Yes,building_blocks,default,No,,drop_self,,Yes
Birch Pressure Plate,birch_pressure_plate,64,Yes,building_blocks,default,No,,drop_self,,Yes
Birch Sapling,birch_sapling,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Birch Sign,birch_sign,16,Yes,functional_blocks,default,No,,drop_self,,Yes
Birch Slab,birch_slab,64,Yes,building_blocks,default,No,,custom,,Yes
Birch Stairs,birch_stairs,64,Yes,building_blocks,default,No,,drop_self,,Yes
Birch Trapdoor,birch_trapdoor,64,Yes,building_blocks,default,No,,drop_self,,Yes
Birch Wood,birch_wood,64,Yes,building_blocks,default,No,,drop_self,,Yes
Black Banner,black_banner,16,Yes,colored_blocks; functional_blocks,default,No,,custom,,Yes
Black Bed,black_bed,1,Yes,colored_blocks; functional_blocks,default,No,,custom,,No
Black Bundle,black_bundle,1,No,tools_and_utilities,,No,,,,No
Black Candle,black_candle,64,Yes,colored_blocks; functional_blocks,default,No,,custom,,Yes
Black Carpet,black_carpet,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Black Concrete,black_concrete,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Black Concrete Powder,black_concrete_powder,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Black Dye,black_dye,64,No,ingredients,,No,,,,Yes
Black Glazed Terracotta,black_glazed_terracotta,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Black Harness,black_harness,1,No,tools_and_utilities,,No,,,,No
Black Shulker Box,black_shulker_box,1,Yes,colored_blocks; functional_blocks,default,No,,custom,,No
Black Stained Glass,black_stained_glass,64,Yes,colored_blocks,default,No,,drop_when_silk_touch,,Yes
Black Stained Glass Pane,black_stained_glass_pane,64,Yes,colored_blocks,default,No,,drop_when_silk_touch,,Yes
Black Terracotta,black_terracotta,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Black Wool,black_wool,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Blackstone,blackstone,64,Yes,building_blocks; natural_blocks,default,No,,drop_self,,Yes
Blackstone Slab,blackstone_slab,64,Yes,building_blocks,default,No,,custom,,Yes
Blackstone Stairs,blackstone_stairs,64,Yes,building_blocks,default,No,,drop_self,,Yes
Blackstone Wall,blackstone_wall,64,Yes,building_blocks,default,No,,drop_self,,Yes
Blade Pottery Sherd,blade_pottery_sherd,64,No,ingredients,,No,,,,Yes
Blast Furnace,blast_furnace,64,Yes,functional_blocks,default,No,,custom,,Yes
Blaze Powder,blaze_powder,64,No,ingredients,,No,,,,Yes
Blaze Rod,blaze_rod,64,No,ingredients,,No,,,,Yes
Blaze Spawn Egg,blaze_spawn_egg,64,No,spawn_eggs,,No,,,,No
Blue Banner,blue_banner,16,Yes,colored_blocks; functional_blocks,default,No,,custom,,Yes
Blue Bed,blue_bed,1,Yes,colored_blocks; functional_blocks,default,No,,custom,,No
Blue Bundle,blue_bundle,1,No,tools_and_utilities,,No,,,,No
Blue Candle,blue_candle,64,Yes,colored_blocks; functional_blocks,default,No,,custom,,Yes
Blue Carpet,blue_carpet,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Blue Concrete,blue_concrete,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Blue Concrete Powder,blue_concrete_powder,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Blue Dye,blue_dye,64,No,ingredients,,No,,,,Yes
Blue Egg,blue_egg,16,No,combat; ingredients,,No,,,,Yes
Blue Glazed Terracotta,blue_glazed_terracotta,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Blue Harness,blue_harness,1,No,tools_and_utilities,,No,,,,No
Blue Ice,blue_ice,64,Yes,natural_blocks,default,No,,drop_when_silk_touch,,Yes
Blue Orchid,blue_orchid,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Blue Shulker Box,blue_shulker_box,1,Yes,colored_blocks; functional_blocks,default,No,,custom,,No
Blue Stained Glass,blue_stained_glass,64,Yes,colored_blocks,default,No,,drop_when_silk_touch,,Yes
Blue Stained Glass Pane,blue_stained_glass_pane,64,Yes,colored_blocks,default,No,,drop_when_silk_touch,,Yes
Blue Terracotta,blue_terracotta,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Blue Wool,blue_wool,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Bogged Spawn Egg,bogged_spawn_egg,64,No,spawn_eggs,,No,,,,No
Bolt Armor Trim Smithing Template,bolt_armor_trim_smithing_template,64,No,ingredients,,No,,,,Yes
Bone,bone,64,No,ingredients,,No,,,,Yes
Bone Block,bone_block,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Bone Meal,bone_meal,64,No,tools_and_utilities; ingredients,,No,,,,Yes
Book,book,64,No,ingredients,,No,,,,Yes
Bookshelf,bookshelf,64,Yes,functional_blocks,default,No,,custom,,Yes
Bordure Indented Banner Pattern,bordure_indented_banner_pattern,1,No,ingredients,,No,,,,No
Bow,bow,1,No,combat,,No,,,,No
Bowl,bowl,64,No,ingredients,,No,,,,Yes
Brain Coral,brain_coral,64,Yes,natural_blocks,default,No,,drop_when_silk_touch,,Yes
Brain Coral Block,brain_coral_block,64,Yes,natural_blocks,default,No,,custom,,Yes
Brain Coral Fan,brain_coral_fan,64,Yes,natural_blocks,default,No,,drop_when_silk_touch,,Yes
Bread,bread,64,No,food_and_drinks,,No,,,,Yes
Breeze Rod,breeze_rod,64,No,ingredients,,No,,,,Yes
Breeze Spawn Egg,breeze_spawn_egg,64,No,spawn_eggs,,No,,,,No
Brewer Pottery Sherd,brewer_pottery_sherd,64,No,ingredients,,No,,,,Yes
Brewing Stand,brewing_stand,64,Yes,functional_blocks,default,No,,custom,,Yes
Brick,brick,64,No,ingredients,,No,,,,Yes
Brick Slab,brick_slab,64,Yes,building_blocks,default,No,,custom,,Yes
Brick Stairs,brick_stairs,64,Yes,building_blocks,default,No,,drop_self,,Yes
Brick Wall,brick_wall,64,Yes,building_blocks,default,No,,drop_self,,Yes
Bricks,bricks,64,Yes,building_blocks,default,No,,drop_self,,Yes
Brown Banner,brown_banner,16,Yes,colored_blocks; functional_blocks,default,No,,custom,,Yes
Brown Bed,brown_bed,1,Yes,colored_blocks; functional_blocks,default,No,,custom,,No
Brown Bundle,brown_bundle,1,No,tools_and_utilities,,No,,,,No
Brown Candle,brown_candle,64,Yes,colored_blocks; functional_blocks,default,No,,custom,,Yes
Brown Carpet,brown_carpet,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Brown Concrete,brown_concrete,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Brown Concrete Powder,brown_concrete_powder,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Brown Dye,brown_dye,64,No,ingredients,,No,,,,Yes
Brown Egg,brown_egg,16,No,combat; ingredients,,No,,,,Yes
Brown Glazed Terracotta,brown_glazed_terracotta,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Brown Harness,brown_harness,1,No,tools_and_utilities,,No,,,,No
Brown Mushroom,brown_mushroom,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Brown Mushroom Block,brown_mushroom_block,64,Yes,natural_blocks,default,No,,custom,,Yes
Brown Shulker Box,brown_shulker_box,1,Yes,colored_blocks; functional_blocks,default,No,,custom,,No
Brown Stained Glass,brown_stained_glass,64,Yes,colored_blocks,default,No,,drop_when_silk_touch,,Yes
Brown Stained Glass Pane,brown_stained_glass_pane,64,Yes,colored_blocks,default,No,,drop_when_silk_touch,,Yes
Brown Terracotta,brown_terracotta,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Brown Wool,brown_wool,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Brush,brush,1,No,tools_and_utilities,,No,,,,No
Bubble Coral,bubble_coral,64,Yes,natural_blocks,default,No,,drop_when_silk_touch,,Yes
Bubble Coral Block,bubble_coral_block,64,Yes,natural_blocks,default,No,,custom,,Yes
Bubble Coral Fan,bubble_coral_fan,64,Yes,natural_blocks,default,No,,drop_when_silk_touch,,Yes
Bucket,bucket,16,No,tools_and_utilities,,No,,,,Yes
Budding Amethyst,budding_amethyst,64,Yes,natural_blocks,default,No,,no_drop,,No
Bundle,bundle,1,No,tools_and_utilities,,No,,,,No
Burn Pottery Sherd,burn_pottery_sherd,64,No,ingredients,,No,,,,Yes
Bush,bush,64,Yes,natural_blocks,default,No,,custom,,Yes
Cactus,cactus,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Cactus Flower,cactus_flower,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Cake,cake,1,Yes,food_and_drinks,default,No,,no_drop,,No
Calcite,calcite,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Calibrated Sculk Sensor,calibrated_sculk_sensor,64,Yes,redstone_blocks,default,No,,drop_when_silk_touch,,Yes
Camel Spawn Egg,camel_spawn_egg,64,No,spawn_eggs,,No,,,,No
Campfire,campfire,64,Yes,functional_blocks,default,No,,custom,,Yes
Candle,candle,64,Yes,colored_blocks; functional_blocks,default,No,,custom,,Yes
Carrot,carrot,64,No,food_and_drinks,,No,,,,Yes
Carrot On A Stick,carrot_on_a_stick,1,No,tools_and_utilities,,No,,,,No
Cartography Table,cartography_table,64,Yes,functional_blocks,default,No,,drop_self,,Yes
Carved Pumpkin,carved_pumpkin,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Cat Spawn Egg,cat_spawn_egg,64,No,spawn_eggs,,No,,,,No
Cauldron,cauldron,64,Yes,functional_blocks; redstone_blocks,default,No,,drop_self,,Yes
Cave Spider Spawn Egg,cave_spider_spawn_egg,64,No,spawn_eggs,,No,,,,No
Chain,chain,64,Yes,building_blocks; functional_blocks,default,No,,drop_self,,Yes
Chain Command Block,chain_command_block,64,Yes,op_blocks,no_loot_table,Yes,,,,No
Chainmail Boots,chainmail_boots,1,No,combat,,No,,,,No
Chainmail Chestplate,chainmail_chestplate,1,No,combat,,No,,,,No
Chainmail Helmet,chainmail_helmet,1,No,combat,,No,,,,No
Chainmail Leggings,chainmail_leggings,1,No,combat,,No,,,,No
Charcoal,charcoal,64,No,ingredients,,No,,,,Yes
Cherry Boat,cherry_boat,1,No,tools_and_utilities,,No,,,,No
Cherry Button,cherry_button,64,Yes,building_blocks,default,No,,drop_self,,Yes
Cherry Chest Boat,cherry_chest_boat,1,No,tools_and_utilities,,No,,,,No
Cherry Door,cherry_door,64,Yes,building_blocks,default,No,,custom,,Yes
Cherry Fence,cherry_fence,64,Yes,building_blocks,default,No,,drop_self,,Yes
Cherry Fence Gate,cherry_fence_gate,64,Yes,building_blocks,default,No,,drop_self,,Yes
Cherry Hanging Sign,cherry_hanging_sign,16,Yes,functional_blocks,default,No,,drop_self,,Yes
Cherry Leaves,cherry_leaves,64,Yes,natural_blocks,default,No,,custom,,Yes
Cherry Log,cherry_log,64,Yes,building_blocks; natural_blocks,default,No,,drop_self,,Yes
Cherry Planks,cherry_planks,64,Yes,building_blocks,default,No,,drop_self,,Yes
Cherry Pressure Plate,cherry_pressure_plate,64,Yes,building_blocks,default,No,,drop_self,,Yes
Cherry Sapling,cherry_sapling,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Cherry Sign,cherry_sign,16,Yes,functional_blocks,default,No,,drop_self,,Yes
Cherry Slab,cherry_slab,64,Yes,building_blocks,default,No,,custom,,Yes
Cherry Stairs,cherry_stairs,64,Yes,building_blocks,default,No,,drop_self,,Yes
Cherry Trapdoor,cherry_trapdoor,64,Yes,building_blocks,default,No,,drop_self,,Yes
Cherry Wood,cherry_wood,64,Yes,building_blocks,default,No,,drop_self,,Yes
Chest,chest,64,Yes,functional_blocks; redstone_blocks,default,No,,custom,,Yes
Chest Minecart,chest_minecart,1,No,redstone_blocks; tools_and_utilities,,No,,,,No
Chicken,chicken,64,No,food_and_drinks,,No,,,,Yes
Chicken Spawn Egg,chicken_spawn_egg,64,No,spawn_eggs,,No,,,,No
Chipped Anvil,chipped_anvil,64,Yes,functional_blocks,default,No,,drop_self,,Yes
Chiseled Bookshelf,chiseled_bookshelf,64,Yes,functional_blocks; redstone_blocks,default,No,,drop_when_silk_touch,,Yes
Chiseled Copper,chiseled_copper,64,Yes,building_blocks,default,No,,drop_self,,Yes
Chiseled Deepslate,chiseled_deepslate,64,Yes,building_blocks,default,No,,drop_self,,Yes
Chiseled Nether Bricks,chiseled_nether_bricks,64,Yes,building_blocks,default,No,,drop_self,,Yes
Chiseled Polished Blackstone,chiseled_polished_blackstone,64,Yes,building_blocks,default,No,,drop_self,,Yes
Chiseled Quartz Block,chiseled_quartz_block,64,Yes,building_blocks,default,No,,drop_self,,Yes
Chiseled Red Sandstone,chiseled_red_sandstone,64,Yes,building_blocks,default,No,,drop_self,,Yes
Chiseled Resin Bricks,chiseled_resin_bricks,64,Yes,building_blocks,default,No,,drop_self,,Yes
Chiseled Sandstone,chiseled_sandstone,64,Yes,building_blocks,default,No,,drop_self,,Yes
Chiseled Stone Bricks,chiseled_stone_bricks,64,Yes,building_blocks,default,No,,drop_self,,Yes
Chiseled Tuff,chiseled_tuff,64,Yes,building_blocks,default,No,,drop_self,,Yes
Chiseled Tuff Bricks,chiseled_tuff_bricks,64,Yes,building_blocks,default,No,,drop_self,,Yes
Chorus Flower,chorus_flower,64,Yes,natural_blocks,default,No,,custom,,Yes
Chorus Fruit,chorus_fruit,64,No,food_and_drinks,,No,,,,Yes
Chorus Plant,chorus_plant,64,Yes,natural_blocks,default,No,,custom,,Yes
Clay,clay,64,Yes,natural_blocks,default,No,,custom,,Yes
Clay Ball,clay_ball,64,No,ingredients,,No,,,,Yes
Clock,clock,64,No,tools_and_utilities,,No,,,,Yes
Closed Eyeblossom,closed_eyeblossom,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Coal,coal,64,No,ingredients,,No,,,,Yes
Coal Block,coal_block,64,Yes,building_blocks,default,No,,drop_self,,Yes
Coal Ore,coal_ore,64,Yes,natural_blocks,default,No,,custom,,Yes
Coarse Dirt,coarse_dirt,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Coast Armor Trim Smithing Template,coast_armor_trim_smithing_template,64,No,ingredients,,No,,,,Yes
Cobbled Deepslate,cobbled_deepslate,64,Yes,building_blocks,default,No,,drop_self,,Yes
Cobbled Deepslate Slab,cobbled_deepslate_slab,64,Yes,building_blocks,default,No,,custom,,Yes
Cobbled Deepslate Stairs,cobbled_deepslate_stairs,64,Yes,building_blocks,default,No,,drop_self,,Yes
Cobbled Deepslate Wall,cobbled_deepslate_wall,64,Yes,building_blocks,default,No,,drop_self,,Yes
Cobblestone,cobblestone,64,Yes,building_blocks,default,No,,drop_self,,Yes
Cobblestone Slab,cobblestone_slab,64,Yes,building_blocks,default,No,,custom,,Yes
Cobblestone Stairs,cobblestone_stairs,64,Yes,building_blocks,default,No,,drop_self,,Yes
Cobblestone Wall,cobblestone_wall,64,Yes,building_blocks,default,No,,drop_self,,Yes
Cobweb,cobweb,64,Yes,natural_blocks,default,No,,custom,,Yes
Cocoa Beans,cocoa_beans,64,No,natural_blocks,,No,,,,Yes
Cod,cod,64,No,food_and_drinks,,No,,,,Yes
Cod Bucket,cod_bucket,1,No,tools_and_utilities,,No,,,,No
Cod Spawn Egg,cod_spawn_egg,64,No,spawn_eggs,,No,,,,No
Command Block,command_block,64,Yes,op_blocks,no_loot_table,Yes,,,,No
Command Block Minecart,command_block_minecart,1,No,op_blocks,,No,,,,No
Comparator,comparator,64,Yes,redstone_blocks,default,No,,drop_self,,Yes
Compass,compass,64,No,tools_and_utilities,,No,,,,Yes
Composter,composter,64,Yes,functional_blocks; redstone_blocks,default,No,,custom,,Yes
Conduit,conduit,64,Yes,functional_blocks,default,No,,drop_self,,Yes
Cooked Beef,cooked_beef,64,No,food_and_drinks,,No,,,,Yes
Cooked Chicken,cooked_chicken,64,No,food_and_drinks,,No,,,,Yes
Cooked Cod,cooked_cod,64,No,food_and_drinks,,No,,,,Yes
Cooked Mutton,cooked_mutton,64,No,food_and_drinks,,No,,,,Yes
Cooked Porkchop,cooked_porkchop,64,No,food_and_drinks,,No,,,,Yes
Cooked Rabbit,cooked_rabbit,64,No,food_and_drinks,,No,,,,Yes
Cooked Salmon,cooked_salmon,64,No,food_and_drinks,,No,,,,Yes
Cookie,cookie,64,No,food_and_drinks,,No,,,,Yes
Copper Block,copper_block,64,Yes,building_blocks,default,No,,drop_self,,Yes
Copper Bulb,copper_bulb,64,Yes,building_blocks; functional_blocks,default,No,,drop_self,,Yes
Copper Door,copper_door,64,Yes,building_blocks,default,No,,custom,,Yes
Copper Grate,copper_grate,64,Yes,building_blocks,default,No,,drop_self,,Yes
Copper Ingot,copper_ingot,64,No,ingredients,,No,,,,Yes
Copper Ore,copper_ore,64,Yes,natural_blocks,default,No,,custom,,Yes
Copper Trapdoor,copper_trapdoor,64,Yes,building_blocks,default,No,,drop_self,,Yes
Cornflower,cornflower,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Cow Spawn Egg,cow_spawn_egg,64,No,spawn_eggs,,No,,,,No
Cracked Deepslate Bricks,cracked_deepslate_bricks,64,Yes,building_blocks,default,No,,drop_self,,Yes
Cracked Deepslate Tiles,cracked_deepslate_tiles,64,Yes,building_blocks,default,No,,drop_self,,Yes
Cracked Nether Bricks,cracked_nether_bricks,64,Yes,building_blocks,default,No,,drop_self,,Yes
Cracked Polished Blackstone Bricks,cracked_polished_blackstone_bricks,64,Yes,building_blocks,default,No,,drop_self,,Yes
Cracked Stone Bricks,cracked_stone_bricks,64,Yes,building_blocks,default,No,,drop_self,,Yes
Crafter,crafter,64,Yes,redstone_blocks,default,No,,drop_self,,Yes
Crafting Table,crafting_table,64,Yes,functional_blocks,default,No,,drop_self,,Yes
Creaking Heart,creaking_heart,64,Yes,spawn_eggs,default,No,,custom,,No
Creaking Spawn Egg,creaking_spawn_egg,64,No,spawn_eggs,,No,,,,No
Creeper Banner Pattern,creeper_banner_pattern,1,No,ingredients,,No,,,,No
Creeper Head,creeper_head,64,Yes,functional_blocks,default,No,,drop_self,,Yes
Creeper Spawn Egg,creeper_spawn_egg,64,No,spawn_eggs,,No,,,,No
Crimson Button,crimson_button,64,Yes,building_blocks,default,No,,drop_self,,Yes
Crimson Door,crimson_door,64,Yes,building_blocks,default,No,,custom,,Yes
Crimson Fence,crimson_fence,64,Yes,building_blocks,default,No,,drop_self,,Yes
Crimson Fence Gate,crimson_fence_gate,64,Yes,building_blocks,default,No,,drop_self,,Yes
Crimson Fungus,crimson_fungus,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Crimson Hanging Sign,crimson_hanging_sign,16,Yes,functional_blocks,default,No,,drop_self,,Yes
Crimson Hyphae,crimson_hyphae,64,Yes,building_blocks,default,No,,drop_self,,Yes
Crimson Nylium,crimson_nylium,64,Yes,natural_blocks,default,No,,custom,,Yes
Crimson Planks,crimson_planks,64,Yes,building_blocks,default,No,,drop_self,,Yes
Crimson Pressure Plate,crimson_pressure_plate,64,Yes,building_blocks,default,No,,drop_self,,Yes
Crimson Roots,crimson_roots,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Crimson Sign,crimson_sign,16,Yes,functional_blocks,default,No,,drop_self,,Yes
Crimson Slab,crimson_slab,64,Yes,building_blocks,default,No,,custom,,Yes
Crimson Stairs,crimson_stairs,64,Yes,building_blocks,default,No,,drop_self,,Yes
Crimson Stem,crimson_stem,64,Yes,building_blocks; natural_blocks,default,No,,drop_self,,Yes
Crimson Trapdoor,crimson_trapdoor,64,Yes,building_blocks,default,No,,drop_self,,Yes
Crossbow,crossbow,1,No,combat,,No,,,,No
Crying Obsidian,crying_obsidian,64,Yes,natural_blocks; functional_blocks,default,No,,drop_self,,Yes
Cut Copper,cut_copper,64,Yes,building_blocks,default,No,,drop_self,,Yes
Cut Copper Slab,cut_copper_slab,64,Yes,building_blocks,default,No,,custom,,Yes
Cut Copper Stairs,cut_copper_stairs,64,Yes,building_blocks,default,No,,drop_self,,Yes
Cut Red Sandstone,cut_red_sandstone,64,Yes,building_blocks,default,No,,drop_self,,Yes
Cut Red Sandstone Slab,cut_red_sandstone_slab,64,Yes,building_blocks,default,No,,custom,,Yes
Cut Sandstone,cut_sandstone,64,Yes,building_blocks,default,No,,drop_self,,Yes
